Date,Open,High,Low,Close,Adj Close,Volume
2015-09-17,28.915001,29.122499,28.430000,28.480000,26.318771,256450400
2015-09-18,28.052500,28.575001,27.967501,28.362499,26.210186,297141200
2015-09-21,28.417500,28.842501,28.415001,28.802500,26.616798,200888000
2015-09-22,28.344999,28.545000,28.129999,28.350000,26.198639,201384800
2015-09-23,28.407499,28.680000,28.325001,28.580000,26.411180,143026800
2015-09-24,28.312500,28.875000,28.092501,28.750000,26.568277,200878000
2015-09-25,29.110001,29.172501,28.504999,28.677500,26.501280,224607600
2015-09-28,28.462500,28.642500,28.110001,28.110001,25.976849,208436000
2015-09-29,28.207500,28.377501,26.965000,27.264999,25.195972,293461600
2015-09-30,27.542500,27.885000,27.182501,27.575001,25.482449,265892000
2015-10-01,27.267500,27.405001,26.827499,27.395000,25.316107,255716400
2015-10-02,27.002501,27.752501,26.887501,27.594999,25.500929,232079200
2015-10-05,27.469999,27.842501,27.267500,27.695000,25.593342,208258800
2015-10-06,27.657499,27.934999,27.442499,27.827499,25.715784,192787200
2015-10-07,27.934999,27.942499,27.352501,27.695000,25.593342,187062400
2015-10-08,27.547501,27.547501,27.052500,27.375000,25.297623,247918400
2015-10-09,27.500000,28.070000,27.372499,28.030001,25.902922,211064400
2015-10-12,28.182501,28.187500,27.860001,27.900000,25.782785,121868800
2015-10-13,27.705000,28.112499,27.670000,27.947500,25.826679,132197200
2015-10-14,27.822500,27.879999,27.389999,27.552500,25.461657,177849600
2015-10-15,27.732500,28.025000,27.622499,27.965000,25.842854,150694000
2015-10-16,27.945000,28.000000,27.632500,27.760000,25.653408,156930400
2015-10-19,27.700001,27.937500,27.527500,27.932501,25.812820,119036800
2015-10-20,27.834999,28.542500,27.705000,28.442499,26.284117,195871200
2015-10-21,28.500000,28.895000,28.424999,28.440001,26.281809,167180800
2015-10-22,28.582500,28.875000,28.525000,28.875000,26.683798,166616400
2015-10-23,29.174999,29.807501,29.082500,29.770000,27.510878,237467600
2015-10-26,29.520000,29.532499,28.730000,28.820000,26.632969,265335200
2015-10-27,28.850000,29.135000,28.497499,28.637501,26.464319,279537600
2015-10-28,29.232500,29.825001,29.014999,29.817499,27.554773,342205600
